,START DATE(UTC),DURATION,DAY OF THE WEEK
126,2018-03-29,8.251944444444444,Sunday
127,2018-03-30,34.37527777777778,Monday
128,2018-03-31,23.59,Tuesday
129,2018-04-01,9.123611111111112,Wednesday
130,2018-04-02,25.072222222222223,Thursday
131,2018-04-03,9.963611111111112,Friday
132,2018-04-04,25.338055555555556,Saturday
133,2018-04-05,13.159444444444444,Sunday
134,2018-04-06,0.7211111111111111,Monday
135,2018-04-07,41.84583333333333,Tuesday
136,2018-04-08,1.3611111111111112,Wednesday
137,2018-04-09,13.643055555555556,Thursday
138,2018-04-10,11.4575,Friday
139,2018-04-11,27.943333333333335,Saturday
140,2018-04-12,13.374166666666667,Sunday
141,2018-04-14,35.94083333333333,Monday
142,2018-04-15,19.690555555555555,Tuesday
143,2018-04-16,1.4738888888888888,Wednesday
144,2018-04-17,38.37027777777778,Thursday
145,2018-04-18,23.30027777777778,Friday
146,2018-04-19,12.9025,Saturday
147,2018-04-20,19.095555555555556,Sunday
148,2018-04-21,22.286666666666665,Monday
149,2018-04-22,21.702222222222222,Tuesday
150,2018-04-23,15.435833333333333,Wednesday
151,2018-04-24,13.986944444444445,Thursday
152,2018-04-25,12.452777777777778,Friday
153,2018-04-26,26.409444444444446,Saturday
154,2018-04-27,4.243611111111111,Sunday
155,2018-04-28,12.802777777777777,Monday
156,2018-04-29,32.762777777777785,Tuesday
157,2018-04-30,0.9088888888888889,Wednesday
158,2018-05-01,11.69111111111111,Thursday
159,2018-05-02,13.186944444444444,Friday
160,2018-05-03,13.513333333333334,Saturday
161,2018-05-04,12.981666666666667,Sunday
162,2018-05-05,33.66611111111111,Monday
163,2018-05-06,8.346944444444444,Tuesday
164,2018-05-07,5.850555555555555,Wednesday
165,2018-05-08,12.822222222222221,Thursday
166,2018-05-09,24.922222222222224,Friday
167,2018-05-11,11.435277777777777,Saturday
168,2018-05-12,21.270555555555553,Sunday
169,2018-05-13,22.5925,Monday
170,2018-05-14,13.818888888888889,Tuesday
171,2018-05-15,14.02361111111111,Wednesday
172,2018-05-16,26.46722222222222,Thursday
173,2018-05-17,2.7527777777777778,Friday
174,2018-05-18,18.094166666666666,Saturday
175,2018-05-19,32.39611111111111,Sunday
176,2018-05-20,1.8927777777777777,Monday
177,2018-05-21,33.004444444444445,Tuesday
178,2018-05-22,4.426666666666667,Wednesday
179,2018-05-23,27.46472222222222,Thursday
180,2018-05-24,6.888055555555556,Friday
181,2018-05-25,13.541944444444443,Saturday
182,2018-05-26,11.506666666666666,Sunday
183,2018-05-27,20.531388888888888,Monday
184,2018-05-28,23.644444444444446,Tuesday
185,2018-05-29,19.545833333333334,Wednesday
186,2018-05-30,13.031111111111112,Thursday
187,2018-05-31,19.29138888888889,Friday
188,2018-06-01,18.816666666666666,Saturday
189,2018-06-02,12.713888888888889,Sunday
190,2018-06-03,18.035555555555554,Monday
191,2018-06-04,30.113333333333333,Tuesday
192,2018-06-05,14.005555555555556,Wednesday
193,2018-06-06,8.06,Thursday
194,2018-06-07,28.720555555555556,Friday
195,2018-06-08,3.709722222222222,Saturday
196,2018-06-09,20.581944444444446,Sunday
197,2018-06-10,20.00472222222222,Monday
198,2018-06-11,18.929444444444442,Tuesday
199,2018-06-12,16.127777777777776,Wednesday
200,2018-06-13,5.465277777777778,Thursday
201,2018-06-14,12.265277777777778,Friday
202,2018-06-15,19.852777777777778,Saturday
203,2018-06-16,11.84,Sunday
204,2018-06-17,20.97,Monday
205,2018-06-18,26.6725,Tuesday
206,2018-06-19,17.331944444444446,Wednesday
207,2018-06-20,15.468055555555555,Thursday
208,2018-06-21,7.324722222222222,Friday
209,2018-06-22,13.20888888888889,Saturday
210,2018-06-23,17.26972222222222,Sunday
211,2018-06-24,36.225,Monday
212,2018-06-25,17.801666666666666,Tuesday
213,2018-06-26,13.93138888888889,Wednesday
214,2018-06-27,15.548055555555555,Thursday
215,2018-06-28,2.8777777777777778,Friday
216,2018-06-29,21.788055555555555,Saturday
217,2018-06-30,30.259166666666665,Sunday
218,2018-07-01,2.1852777777777774,Monday
219,2018-07-02,14.256666666666666,Tuesday
220,2018-07-03,27.60611111111111,Wednesday
221,2018-07-04,3.2447222222222223,Thursday
222,2018-07-05,17.41916666666667,Friday
223,2018-07-06,21.516944444444444,Saturday
224,2018-07-07,13.28111111111111,Sunday
225,2018-07-08,17.762777777777778,Monday
226,2018-07-09,17.16861111111111,Tuesday
227,2018-07-10,26.000277777777775,Wednesday
228,2018-07-11,8.775833333333333,Thursday
229,2018-07-12,13.877777777777776,Friday
230,2018-07-13,22.306944444444447,Saturday
231,2018-07-14,30.828611111111112,Sunday
232,2018-07-15,23.20777777777778,Monday
233,2018-07-16,21.965555555555554,Tuesday
234,2018-07-17,19.504444444444445,Wednesday
235,2018-07-18,14.552499999999998,Thursday
236,2018-07-19,3.9291666666666667,Friday
237,2018-07-20,12.253333333333334,Saturday
238,2018-07-21,12.467777777777776,Sunday
239,2018-07-29,1.8344444444444445,Monday
240,2018-07-30,40.537499999999994,Tuesday
241,2018-07-31,6.041388888888889,Wednesday
242,2018-08-01,35.38361111111111,Thursday
243,2018-08-02,12.49611111111111,Friday
244,2018-08-03,3.3697222222222223,Saturday
245,2018-08-04,13.14138888888889,Sunday
246,2018-08-05,58.49611111111111,Monday
247,2018-08-07,27.288333333333334,Tuesday
248,2018-08-08,8.021666666666667,Wednesday
249,2018-08-09,14.285,Thursday
250,2018-08-10,22.313333333333333,Friday
251,2018-08-11,15.253333333333334,Saturday
252,2018-08-12,34.6425,Sunday
253,2018-08-13,2.2305555555555556,Monday
254,2018-08-14,19.665833333333335,Tuesday
255,2018-08-15,20.458055555555557,Wednesday
256,2018-08-16,10.911944444444444,Thursday
257,2018-08-17,37.43222222222222,Friday
258,2018-08-19,29.572499999999998,Saturday
259,2018-08-20,13.8675,Sunday
260,2018-08-21,14.7675,Monday
261,2018-08-22,13.465833333333334,Tuesday
262,2018-08-24,16.429722222222225,Wednesday
263,2018-08-25,17.093333333333334,Thursday
264,2018-08-26,33.60944444444445,Friday
265,2018-08-27,1.9494444444444445,Saturday
266,2018-08-28,25.306944444444447,Sunday
267,2018-08-29,13.85,Monday
268,2018-08-30,13.287222222222223,Tuesday
269,2018-08-31,1.4958333333333333,Wednesday
270,2018-09-01,16.440833333333334,Thursday
271,2018-09-02,33.07333333333334,Friday
272,2018-09-03,21.5475,Saturday
273,2018-09-04,14.432222222222222,Sunday
274,2018-09-06,26.212777777777777,Monday
275,2018-09-07,3.817222222222222,Tuesday
276,2018-09-08,5.300833333333333,Wednesday
277,2018-09-09,35.75222222222222,Thursday
